date,open,high,low,close,volume,average,barCount
2024-12-06,1.4024,1.416475,1.40188,1.415835,-1.0,-1.0,-1
2024-12-09,1.4162,1.41753,1.409335,1.417165,-1.0,-1.0,-1
2024-12-10,1.417025,1.41951,1.41558,1.41814,-1.0,-1.0,-1
2024-12-11,1.418145,1.419505,1.412,1.41586,-1.0,-1.0,-1
2024-12-12,1.416075,1.4228,1.413135,1.42203,-1.0,-1.0,-1
2024-12-13,1.4221,1.42454,1.420965,1.42399,-1.0,-1.0,-1
2024-12-16,1.423425,1.42729,1.42171,1.424215,-1.0,-1.0,-1
2024-12-17,1.42415,1.43237,1.42322,1.43098,-1.0,-1.0,-1
2024-12-18,1.430895,1.44498,1.430475,1.44474,-1.0,-1.0,-1
2024-12-19,1.44465,1.44672,1.434465,1.439845,-1.0,-1.0,-1
2024-12-20,1.4397,1.44356,1.433555,1.435295,-1.0,-1.0,-1
2024-12-23,1.436975,1.44335,1.43491,1.43704,-1.0,-1.0,-1
2024-12-24,1.437225,1.442045,1.435235,1.43536,-1.0,-1.0,-1
2024-12-26,1.435395,1.44207,1.43501,1.440765,-1.0,-1.0,-1
2024-12-27,1.44065,1.44496,1.437515,1.44097,-1.0,-1.0,-1
2024-12-30,1.441575,1.4433,1.4345,1.435515,-1.0,-1.0,-1
2024-12-31,1.435395,1.44096,1.43383,1.437735,-1.0,-1.0,-1
2025-01-02,1.43753,1.444225,1.436935,1.44028,-1.0,-1.0,-1
2025-01-03,1.44045,1.44636,1.43834,1.44482,-1.0,-1.0,-1
2025-01-06,1.444875,1.4451,1.42799,1.43323,-1.0,-1.0,-1
2025-01-07,1.43326,1.437255,1.42979,1.437255,-1.0,-1.0,-1
2025-01-08,1.436405,1.44097,1.43394,1.437545,-1.0,-1.0,-1
2025-01-09,1.43793,1.44051,1.43653,1.439375,-1.0,-1.0,-1
2025-01-10,1.43973,1.44429,1.437545,1.442275,-1.0,-1.0,-1
2025-01-13,1.442425,1.44474,1.437515,1.43802,-1.0,-1.0,-1
2025-01-14,1.436705,1.441045,1.43431,1.434965,-1.0,-1.0,-1
2025-01-15,1.43483,1.43668,1.430245,1.43409,-1.0,-1.0,-1
2025-01-16,1.433975,1.44032,1.43228,1.439535,-1.0,-1.0,-1
2025-01-17,1.439375,1.44852,1.43826,1.447515,-1.0,-1.0,-1
2025-01-20,1.447365,1.44857,1.42613,1.43103,-1.0,-1.0,-1
2025-01-21,1.430875,1.451755,1.42896,1.43245,-1.0,-1.0,-1
2025-01-22,1.432575,1.43912,1.43011,1.437785,-1.0,-1.0,-1
2025-01-23,1.43782,1.44136,1.43342,1.438335,-1.0,-1.0,-1
2025-01-24,1.438305,1.43842,1.43152,1.43491,-1.0,-1.0,-1
2025-01-27,1.43652,1.44016,1.43335,1.437475,-1.0,-1.0,-1
2025-01-28,1.43738,1.442025,1.43681,1.440085,-1.0,-1.0,-1
2025-01-29,1.43948,1.44719,1.439195,1.44194,-1.0,-1.0,-1
2025-01-30,1.44188,1.45953,1.43933,1.448465,-1.0,-1.0,-1
2025-01-31,1.4494,1.455985,1.437175,1.454565,-1.0,-1.0,-1
2025-02-03,1.474075,1.479355,1.43901,1.44287,-1.0,-1.0,-1
2025-02-04,1.442475,1.45035,1.430175,1.432235,-1.0,-1.0,-1
2025-02-05,1.4324,1.43445,1.427005,1.43126,-1.0,-1.0,-1
2025-02-06,1.431235,1.436675,1.43013,1.430705,-1.0,-1.0,-1
